ボルテックス番号, 座標, 合力, VVI作用, 対象VVI, VVI反作用, ピニング力, ローレンツ力, 熱ゆらぎ, 現在速度
6 , 6.209643, 0.022028, -0.000125,7.000000,0.040530,1.999998,-1.965000,-0.053387, 0.022028
7 , 15.200285, 0.140539, -0.040434,8.000000,0.000125,1.998951,-1.965000,0.146897, 0.140539
8 , 18.408374, -0.190707, 0.000000,0.000000,0.040323,1.999970,-1.965000,-0.265987, -0.190707
9 , 3.001149, 0.004345, -0.040338,12.000000,0.000000,1.999125,-1.965000,0.010558, 0.004345
10 , 6.208526, -0.070091, -0.000124,11.000000,0.040519,1.999971,-1.965000,-0.145400, -0.070091
11 , 15.205805, 0.185063, -0.040662,12.000000,0.000124,1.999772,-1.965000,0.190830, 0.185063
12 , 18.408265, 0.240646, 0.000000,0.000000,0.040522,1.999959,-1.965000,0.165150, 0.240646
1 , 2.991939, -0.273715, -0.039914,4.000000,0.000000,1.996380,-1.965000,-0.265181, -0.273715
2 , 6.209827, 0.029780, -0.000124,3.000000,0.040059,1.999998,-1.965000,-0.045134, 0.029780
3 , 15.205100, 0.138970, -0.040612,4.000000,0.000124,1.999728,-1.965000,0.144731, 0.138970
4 , 18.408775, -0.238836, 0.000000,0.000000,0.040549,1.999977,-1.965000,-0.314300, -0.238836
5 , 3.004459, -0.200805, -0.040445,8.000000,0.000000,1.999654,-1.965000,-0.195014, -0.200805
6 , 6.209218, 0.114217, -0.000125,7.000000,0.040554,1.999993,-1.965000,0.038779, 0.114217
7 , 15.199456, 0.118684, -0.040363,8.000000,0.000125,1.998754,-1.965000,0.125168, 0.118684
8 , 18.409306, 0.118652, 0.000000,0.000000,0.040261,1.999995,-1.965000,0.043419, 0.118652
9 , 3.001531, -0.038958, -0.040354,12.000000,0.000000,1.999192,-1.965000,-0.032797, -0.038958
10 , 6.208528, 0.126369, -0.000124,11.000000,0.040521,1.999974,-1.965000,0.051041, 0.126369
11 , 15.204062, 0.007673, -0.040592,12.000000,0.000124,1.999593,-1.965000,0.013548, 0.007673
12 , 18.408244, -0.011619, 0.000000,0.000000,0.040462,1.999963,-1.965000,-0.087050, -0.011619
1 , 2.992854, -0.255094, -0.039955,4.000000,0.000000,1.996727,-1.965000,-0.246865, -0.255094
2 , 6.209716, 0.181541, -0.000124,3.000000,0.040065,1.999999,-1.965000,0.106585, 0.181541
3 , 15.204368, 0.002063, -0.040576,4.000000,0.000124,1.999619,-1.965000,0.007896, 0.002063
4 , 18.408929, 0.239807, 0.000000,0.000000,0.040529,1.999982,-1.965000,0.164375, 0.239807
5 , 3.004368, -0.079950, -0.040544,8.000000,0.000000,1.999640,-1.965000,-0.074046, -0.079950
6 , 6.206676, 0.047902, -0.000125,7.000000,0.040647,1.999877,-1.965000,-0.027519, 0.047902
7 , 15.197857, -0.097232, -0.040317,8.000000,0.000124,1.998355,-1.965000,-0.090394, -0.097232
8 , 18.408831, 0.098240, 0.000000,0.000000,0.040184,1.999983,-1.965000,0.023064, 0.098240
9 , 3.002262, 0.090400, -0.040353,12.000000,0.000000,1.999330,-1.965000,0.096422, 0.090400
